random_creation_rate,elite_rate,population_size,tournament_size,tournament_rate,tournament_mutation_rate,log_filtering,objective_fitness,dataset
0.1,0.4,30,0.25,0.5,0.8,0.001,0.96,2013-cp
0.1,0.4,30,0.25,0.5,0.8,0.001,0.96,2013-op
0.1,0.4,30,0.25,0.5,0.8,0.001,0.87,2012
0.1,0.4,30,0.25,0.5,0.8,0.001,0.95,2013-i
0.1,0.4,30,0.25,0.5,0.8,0.001,0.72,2017
0.1,0.4,30,0.25,0.5,0.8,0.001,0.65,2019
0.1,0.4,30,0.25,0.5,0.8,0.001,0.94,2020-dd
0.1,0.4,30,0.25,0.5,0.8,0.001,0.87,2020-id
0.1,0.4,30,0.25,0.5,0.8,0.001,0.75,2020-pl
0.1,0.4,30,0.25,0.5,0.8,0.001,0.93,2020-ptc
0.1,0.4,30,0.25,0.5,0.8,0.001,0.94,2020-rfp
0.1,0.4,30,0.25,0.5,0.8,0.001,0.95,RTF
0.1,0.4,30,0.25,0.5,0.8,0.001,0.94,Sepsis