simplicity,generalization,perc_fit_traces,average_trace_fitness,log_fitness,percentage_of_fitting_traces,precision,objective_fitness,f1_score,dataset,miner,time,ftr_fitness,number_of_places
0.611,0.948,61.71,0.988,0.97,61.71,0.136,55.83,0.238,2012,Inductive Miner,9.928393125534058,0.8096429852821275,51
0.59,0.886,3.907,0.986,0.986,3.907,0.156,58.923,0.269,2020-ptc,Inductive Miner,0.29072022438049316,0.8386650196668293,58
0.692,0.933,100.0,1.0,1.0,100.0,0.907,82.947,0.951,2013-op,Inductive Miner,0.005219697952270508,0.8085436406051547,16
0.624,0.975,100.0,1.0,1.0,100.0,0.63,63.194,0.773,RTF,Inductive Miner,0.633450984954834,0.6194129960754435,29
0.6,0.855,100.0,1.0,1.0,100.0,0.391,75.426,0.562,2020-dd,Inductive Miner,1.2065589427947998,0.996973585601487,26
0.622,0.877,6.947,0.971,0.97,6.947,0.233,50.992,0.376,2020-id,Inductive Miner,0.4907832145690918,0.7352230917613923,93
0.628,0.948,100.0,1.0,1.0,100.0,0.152,63.252,0.263,2017,Inductive Miner,42.98790097236633,0.9461028334162922,93
0.589,0.915,99.945,1.0,1.0,99.945,0.235,56.365,0.381,2019,Inductive Miner,36.17128896713257,0.7978966529808955,80
0.595,0.862,100.0,1.0,1.0,100.0,0.102,51.849,0.185,2020-pl,Inductive Miner,4.596970796585083,0.8300053683316505,100
0.6,0.867,100.0,1.0,1.0,100.0,0.334,72.984,0.501,2020-rfp,Inductive Miner,0.06836795806884766,0.9873406996874746,33
0.667,0.871,100.0,1.0,1.0,100.0,0.626,79.158,0.77,2013-i,Inductive Miner,0.12625598907470703,0.9083282003148535,17
0.66,0.877,100.0,1.0,1.0,100.0,0.793,85.703,0.885,2013-cp,Inductive Miner,0.016180992126464844,0.9380616174582799,16
0.622,0.902,100.0,1.0,1.0,100.0,0.321,66.013,0.486,Sepsis,Inductive Miner,0.22368216514587402,0.8646910553311008,39
0.662,0.937,81.684,0.995,0.986,81.684,0.195,61.328,0.326,Nasa,Inductive Miner,4.709702014923096,0.9210497870398107,126